Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Jose Bautista,Blue Jays,116,517,22,68,69,2,16.80%,19.90%,0.217,0.255,0.234,0.366,0.452,0.355,123,-5.3,9.1,-12.6,1.4,1887
Danny Valencia,Athletics,130,517,17,72,51,1,7.90%,22.20%,0.159,0.346,0.287,0.346,0.446,0.342,117,-1.6,8.8,-12.4,1.4,6364
Eugenio Suarez,Reds,159,627,21,78,70,11,8.10%,24.70%,0.163,0.304,0.248,0.317,0.411,0.316,93,-1.2,-6.9,0.5,1.4,12552
Danny Espinosa,Nationals,157,601,24,66,72,9,9.00%,29.00%,0.169,0.261,0.209,0.306,0.378,0.294,78,4.9,-11.7,5.6,1.3,9219
Melvin Upton Jr.,- - -,149,539,20,64,61,27,6.90%,28.80%,0.165,0.3,0.238,0.291,0.402,0.297,84,5.4,-4.8,0.2,1.3,5015
Jayson Werth,Nationals,143,606,21,84,69,5,11.70%,22.90%,0.173,0.288,0.244,0.335,0.417,0.327,100,2.1,2.2,-8.8,1.3,1327
Denard Span,Giants,143,637,11,70,53,12,8.30%,12.40%,0.115,0.291,0.266,0.331,0.381,0.312,94,2.8,-1.6,-6.1,1.3,8347
Adrian Gonzalez,Dodgers,156,633,18,69,90,0,8.70%,18.50%,0.15,0.328,0.285,0.349,0.435,0.334,111,-4.9,3.5,-11,1.3,1908
Starlin Castro,Yankees,151,610,21,63,70,4,3.90%,19.30%,0.163,0.305,0.27,0.3,0.433,0.313,93,-1.5,-6.5,-1.5,1.3,4579
Travis Shaw,Red Sox,145,530,16,63,71,5,8.10%,25.10%,0.179,0.299,0.242,0.306,0.421,0.31,88,-1,-8.8,3.4,1.3,11982
Nick Markakis,Braves,158,684,13,67,89,0,10.40%,14.80%,0.129,0.3,0.269,0.346,0.397,0.321,98,-2.6,-4.4,-5.3,1.2,5930
Angel Pagan,Giants,129,543,12,71,55,15,7.70%,12.20%,0.141,0.298,0.277,0.331,0.418,0.324,103,1.8,3.5,-9.4,1.2,2918
Josh Harrison,Pirates,131,522,4,57,59,19,3.40%,14.60%,0.105,0.323,0.283,0.311,0.388,0.301,86,3,-6,0.7,1.2,8202
Chris Carter,Brewers,160,644,41,84,94,3,11.80%,32.00%,0.277,0.26,0.222,0.321,0.499,0.346,113,-4.3,6.3,-16.1,1.1,9911
Andrew McCutchen,Pirates,153,675,24,81,79,6,10.20%,21.20%,0.174,0.297,0.256,0.336,0.43,0.329,105,-2.5,1.5,-12.4,1.1,9847
Corey Dickerson,Rays,148,548,24,57,70,0,6.00%,24.50%,0.224,0.285,0.245,0.293,0.469,0.319,101,-0.8,-0.1,-7.8,1.1,10762
Victor Martinez,Tigers,154,610,27,65,86,0,8.20%,14.80%,0.186,0.303,0.289,0.351,0.476,0.351,120,-10.1,4.7,-15.1,1,393
Jason Heyward,Cubs,142,592,7,61,49,11,9.10%,15.70%,0.094,0.266,0.23,0.306,0.325,0.282,72,2.1,-18.6,9.6,1,4940
Joe Mauer,Twins,134,576,11,68,49,2,13.70%,16.10%,0.128,0.301,0.261,0.363,0.389,0.327,102,-2.1,-0.7,-9,1,1857
